debate_id,motion,personality,stance,avg_stance,avg_personality,stance_drift,personality_drift,argument_quality,rebuttal_directness,coherence,civility,drift_direction
43f52ba1,This house would grant asylum seekers th,agreeableness,pro_immigration,2.75,3.0,0,0,2,2,2,2,stable
43f52ba1,This house would grant asylum seekers th,agreeableness,restrictive_immigration,1.25,2.25,-1,2,2,2,2,2,degraded
99c20d68,This house believes that undocumented im,openness,pro_immigration,3.0,3.0,0,0,1,2,1,2,stable
99c20d68,This house believes that undocumented im,openness,restrictive_immigration,2.0,1.75,1,1,1,2,1,2,improved
c95f05d5,This house believes that deportation of ,agreeableness,pro_immigration,2.25,2.5,0,0,1,1,1,2,stable
c95f05d5,This house believes that deportation of ,agreeableness,restrictive_immigration,1.0,1.0,-2,-1,1,1,1,2,degraded
8ef9aa6b,This house would grant asylum seekers th,neuroticism,pro_immigration,3.0,1.75,0,1,1,1,1,2,stable
8ef9aa6b,This house would grant asylum seekers th,neuroticism,restrictive_immigration,2.75,1.75,-1,-2,1,1,1,2,degraded
1f01f322,This house believes that undocumented im,neuroticism,pro_immigration,2.25,1.75,-2,0,1,1,1,0,degraded
1f01f322,This house believes that undocumented im,neuroticism,restrictive_immigration,2.25,2.75,3,0,1,1,1,0,improved
3d9cb3d6,This house believes that undocumented im,extraversion,pro_immigration,3.0,2.75,0,0,2,2,2,1,stable
3d9cb3d6,This house believes that undocumented im,extraversion,restrictive_immigration,2.5,2.5,0,0,2,2,2,1,stable
6f9d35b1,This house believes that borders should ,conscientiousness,pro_immigration,2.0,3.0,-2,0,1,1,1,2,degraded
6f9d35b1,This house believes that borders should ,conscientiousness,restrictive_immigration,2.75,3.0,0,0,1,1,1,2,stable
3a1a1d24,This house would grant asylum seekers th,extraversion,pro_immigration,3.0,3.0,0,0,1,1,2,1,stable
3a1a1d24,This house would grant asylum seekers th,extraversion,restrictive_immigration,1.75,2.0,-3,-2,1,1,2,1,degraded
240bda74,This house believes that deportation of ,neuroticism,pro_immigration,2.0,1.75,-3,2,2,2,2,1,degraded
240bda74,This house believes that deportation of ,neuroticism,restrictive_immigration,0.5,2.0,0,-1,2,2,2,1,stable
65431032,This house would prioritize family reuni,conscientiousness,pro_immigration,2.75,2.5,0,0,1,1,1,2,stable
65431032,This house would prioritize family reuni,conscientiousness,restrictive_immigration,2.0,3.0,0,0,1,1,1,2,stable
